1	7990727	7991620	AT1G22600.1-novel-noncoding	10.329	-
1	13837489	13838223	AT1G36622.1-novel-noncoding	2.992	-
1	17292400	17293442	AT1G47200.1-novel-noncoding	5.48	+
1	18427873	18428863	AT1G49780.1-novel-noncoding	146.489	-
1	18692211	18693019	AT1G50460.1-novel-noncoding	7.611	-
1	21051617	21053133	AT1G56233.1-novel-noncoding	118.165	-
1	23459538	23459716	AT1G63240.1-novel-noncoding	0	-
1	27434163	27434882	AT1G72910.1-novel-noncoding	0	-
1	27901250	27901898	AT1G74180.1-novel-noncoding	5.762	-
1	28514324	28515916	AT1G75950.1-novel-noncoding	15.083	-
2	13506169	13507480	AT2G31760.1-novel-noncoding	13.458	-
2	14547098	14547734	AT2G34510.1-novel-noncoding	0	-
2	15134907	15135430	AT2G36050.1-novel-noncoding	0	-
3	10060446	10060983	AT3G27250.1-novel-noncoding	0	-
3	11509507	11510594	AT3G29647.1-novel-noncoding	13.672	+
3	12558704	12560067	AT3G30834.1-novel-noncoding	8.97	-
3	21106908	21108014	AT3G57040.1-novel-noncoding	1.92	-
3	22173465	22175304	AT3G60040.1-novel-noncoding	9.554	-
3	22296951	22297432	AT3G60330.2-novel-noncoding	6.545	+
3	23116595	23118188	AT3G62490.1-novel-noncoding	4.136	+
4	2181227	2182612	AT4G04408.1-novel-noncoding	2.537	+
4	4824622	4825350	AT4G07990.1-novel-noncoding	0	+
4	5896726	5897111	AT4G09300.1-novel-noncoding	10.838	-
4	6877908	6878576	AT4G11300.1-novel-noncoding	6.356	+
4	12473634	12475439	AT4G24015.1-novel-noncoding	1.987	-
4	13673139	13674333	AT4G27310.1-novel-noncoding	2.82	-
4	17085151	17085764	AT4G36105.2-novel-noncoding	4.658	-
5	5673572	5674107	AT5G17250.1-novel-noncoding	16.147	-
5	5964085	5964847	AT5G18010.1-novel-noncoding	3.17	+
5	6442806	6443609	AT5G19170.1-novel-noncoding	3.009	+
5	6663209	6664307	AT5G19710.1-novel-noncoding	0	-
5	7252248	7253583	AT5G21940.1-novel-noncoding	5.155	+
5	8221395	8224071	AT5G24210.1-novel-noncoding	5.964	+
5	10799660	10800837	AT5G28770.2-novel-noncoding	2.861	+
5	22992069	22993079	AT5G56860.1-novel-noncoding	5.799	-
5	25034445	25035633	AT5G62350.1-novel-noncoding	0	-
1	258832	259742	AT1G01700.1-gene-antisense	1.287	+
1	391958	395432	AT1G02110.1-gene-antisense	2.971	-
1	852368	853747	AT1G03440.1-gene-antisense	4.672	-
1	898221	899822	AT1G03600.1-gene-antisense	4.573	-
1	1431443	1432901	AT1G05010.1-gene-antisense	1.858	+
1	1761419	1762033	AT1G05830.1-gene-antisense	0	-
1	2033474	2035495	AT1G06645.1-gene-antisense	4.781	-
1	2407998	2408892	AT1G07770.2-gene-antisense	2.293	+
1	2953070	2954531	AT1G09160.2-gene-antisense	9.069	+
1	3648158	3650271	AT1G10930.1-gene-antisense	2.287	+
1	3944792	3946570	AT1G11700.1-gene-antisense	2.388	-
1	4075516	4076940	AT1G12050.1-gene-antisense	2.519	-
1	4105306	4106779	AT1G12110.1-gene-antisense	2.187	-
1	4242719	4244285	AT1G12440.1-gene-antisense	1.122	+
1	4382260	4383578	AT1G12855.1-gene-antisense	1.722	-
1	4547006	4548546	AT1G13280.1-gene-antisense	2.995	-
1	4576999	4579776	AT1G13360.2-gene-antisense	1.555	+
1	4635550	4637253	AT1G13540.1-gene-antisense	3.439	+
1	4642467	4643504	AT1G13570.1-gene-antisense	2.894	+
1	4758105	4760193	AT1G13920.1-gene-antisense	3.401	-
1	4991657	4992863	AT1G14580.1-gene-antisense	1.396	-
1	5136299	5138262	AT1G14890.1-gene-antisense	0	-
1	5478260	5479278	AT1G15950.2-gene-antisense	2.733	-
1	5516246	5517690	AT1G16090.1-gene-antisense	0	-
1	5737467	5738768	AT1G16770.1-gene-antisense	6.809	-
1	6441458	6443019	AT1G18700.4-gene-antisense	1.688	-
1	6561170	6562520	AT1G19000.2-gene-antisense	4.826	+
1	6697086	6697825	AT1G19376.1-gene-antisense	4.161	-
1	7898064	7898695	AT1G22370.1-gene-antisense	0.696	+
1	8142830	8144764	AT1G23000.1-gene-antisense	1.173	-
1	8976582	8978191	AT1G25550.1-gene-antisense	23.841	-
1	9351088	9351739	AT1G26945.1-gene-antisense	3.149	-
1	9456728	9458108	AT1G27210.1-gene-antisense	2.599	+
