11936	-
14535	+
28287	+
29551	+
39939	-
41748	-
57253	-
63588	-
65803	-
65946	-
65946	-
70221	+
70387	+
70531	+
72227	-
75608	-
83735	-
85537	+
85756	+
87733	+
87733	+
105047	+
105047	+
106502	+
107668	+
111293	+
112688	-
112688	-
113394	+
116075	-
117051	-
121676	-
130153	-
131520	+
138864	-
141263	-
145055	+
150689	-
155276	-
156424	-
156424	-
159172	-
159390	-
159390	-
177150	-
178932	-
184193	-
184883	-
184990	-
188666	-
194432	+
196159	+
201715	+
214989	+
214989	+
216326	-
216694	-
218988	-
218988	-
221008	-
221008	-
222714	-
231072	+
232112	+
232414	+
240970	-
246532	-
248134	+
248402	-
249878	-
251772	+
251772	+
255825	+
258971	-
265449	-
265449	-
268780	-
268955	-
275895	+
275895	+
280043	-
282234	+
282234	+
288414	-
289665	+
291112	+
291677	-
292275	+
294584	-
299825	-
311344	+
318001	-
318001	-
319913	+
324504	-
330322	+
331267	+
342490	+
343717	+
343909	+
344476	+
355229	+
355229	+
360772	-
374107	+
376380	+
377226	-
379427	-
379808	-
380424	-
390159	+
392448	+
392929	+
393395	+
398668	+
400543	+
410506	-
411755	-
412577	-
416325	+
418643	+
431469	-
438871	-
440597	-
452197	-
453575	+
454058	+
454138	-
461077	+
467579	+
472450	+
473164	+
474530	+
486277	+
486925	+
495717	+
496357	+
503978	-
507321	-
508210	-
514926	-
526158	+
528252	+
529141	-
531614	+
531840	+
532189	+
543805	-
557004	-
560394	+
563921	+
570856	+
576452	+
576907	+
578931	+
579070	+
582819	+
584893	-
586240	-
588949	-
589545	-
590484	-
594684	-
600564	+
601623	+
602731	-
603794	-
605626	-
605626	-
610397	-
615619	+
628583	+
629004	+
629633	+
636947	-
637856	-
641404	+
641635	+
642309	+
644494	-
644494	-
644517	-
644517	-
644694	-
654030	-
654880	-
660765	-
662523	-
670612	-
677513	+
681267	-
681390	-
681623	-
683267	-
688931	-
696595	-
699961	-
701232	-
702396	-
703328	+
703482	+
704214	+
707459	+
714845	+
718418	-
722987	-
723712	-
723712	-
732565	+
734541	+
734757	+
734757	+
738926	+
741892	-
742021	+
742248	+
744355	+
744355	+
748408	-
748408	-
753151	-
754178	+
768871	+
770073	-
773934	+
784189	-
784189	-
786893	-
788233	-
788233	-
791418	+
793037	-
801173	+
802948	+
812375	+
817452	+
819904	+
820435	+
820538	+
835180	+
838418	-
840355	-
844523	-
847270	-
848591	-
850476	-
865719	+
868746	+
877440	+
878596	+
879841	+
880691	+
881994	-
890755	+
892149	+
899849	-
903066	-
912479	-
913361	-
914118	-
915663	+
920000	+
920708	+
921134	+
924979	+
926129	-
937035	+
937035	+
937994	+
938471	+
938471	+
943676	+
948128	-
949221	+
951137	-
952120	-
954732	-
956792	+
957093	+
961085	+
961085	+
970939	+
980111	+
986470	-
989637	-
990299	+
997210	+
1003687	+
1003957	+
1007246	+
1017682	+
1020306	+
1022557	-
1034982	+
1034982	+
1042267	-
1049935	-
1050528	+
1052901	-
1060807	+
1060807	+
1061632	+
1063056	-
1064659	-
1066981	-
1067285	+
1067381	+
1069019	-
1072078	-
1073443	+
1081773	+
1085512	-
1086822	-
1087824	-
1091043	-
1096902	-
1098209	+
1099519	+
1100215	-
1103907	+
1103907	+
1118867	-
1118867	-
1121093	-
1124577	-
1124656	-
1127006	+
1130215	+
1153163	+
1153163	+
1159078	-
1161048	+
1162826	+
1163108	+
1163108	+
1165052	-
1168085	-
1168242	+
1170530	-
1177764	+
1177764	+
1178433	+
1189731	-
1194021	-
1200492	+
1201526	-
1201526	-
1214514	-
1214728	-
1218771	+
1219131	+
1219841	+
1220661	+
1223285	-
1226729	-
1235078	-
1236508	-
1240354	-
1249872	-
1250130	-
1250212	+
1252085	+
1253088	-
1254395	-
1256507	-
1257583	-
1261481	-
1266849	+
1270746	-
1272200	+
1272971	+
1273089	+
1278687	-
1278824	+
1280387	+
1285953	-
1289400	+
1290483	+
1293292	+
1297486	+
1317968	-
1317968	-
1320567	-
1321789	+
1328813	+
1331785	+
